,Company Name,Industry,Symbol,Series,ISIN Code
126,JK Tyre & Industries Ltd.,Automobile and Auto Components,JKTYRE,EQ,INE573A01042
127,JM Financial Ltd.,Financial Services,JMFINANCIL,EQ,INE780C01023
128,Jaiprakash Power Ventures Ltd.,Power,JPPOWER,EQ,INE351F01018
129,Jammu & Kashmir Bank Ltd.,Financial Services,J&KBANK,EQ,INE168A01041
130,Jindal Saw Ltd.,Capital Goods,JINDALSAW,EQ,INE324A01032
131,Jubilant Ingrevia Ltd.,Chemicals,JUBLINGREA,EQ,INE0BY001018
132,Jubilant Pharmova Ltd.,Healthcare,JUBLPHARMA,EQ,INE700A01033
133,Jupiter Wagons Ltd.,Capital Goods,JWL,EQ,INE209L01016
134,Justdial Ltd.,Consumer Services,JUSTDIAL,EQ,INE599M01018
135,Jyothy Labs Ltd.,Fast Moving Consumer Goods,JYOTHYLAB,EQ,INE668F01031
136,Jyoti CNC Automation Ltd.,Capital Goods,JYOTICNC,EQ,INE980O01024
137,KNR Constructions Ltd.,Construction,KNRCON,EQ,INE634I01029
138,KSB Ltd.,Capital Goods,KSB,EQ,INE999A01023
139,Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER,EQ,INE217B01036
140,Kalpataru Projects International Ltd.,Construction,KPIL,EQ,INE220B01022
141,Kansai Nerolac Paints Ltd.,Consumer Durables,KANSAINER,EQ,INE531A01024
142,Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA,EQ,INE036D01028
143,Kaynes Technology India Ltd.,Capital Goods,KAYNES,EQ,INE918Z01012
144,Kec International Ltd.,Construction,KEC,EQ,INE389H01022
145,Kfin Technologies Ltd.,Financial Services,KFINTECH,EQ,INE138Y01010
146,Kirloskar Brothers Ltd.,Capital Goods,KIRLOSBROS,EQ,INE732A01036
147,Kirloskar Oil Eng Ltd.,Capital Goods,KIRLOSENG,EQ,INE146L01010
148,Krishna Institute of Medical Sciences Ltd.,Healthcare,KIMS,EQ,INE967H01025
149,Latent View Analytics Ltd.,Information Technology,LATENTVIEW,EQ,INE0I7C01011
150,Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028
151,Lemon Tree Hotels Ltd.,Consumer Services,LEMONTREE,EQ,INE970X01018
152,MMTC Ltd.,Services,MMTC,EQ,INE123F01029
153,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL,EQ,INE002S01010
154,Maharashtra Seamless Ltd.,Capital Goods,MAHSEAMLES,EQ,INE271B01025
155,Mahindra Lifespace Developers Ltd.,Realty,MAHLIFE,EQ,INE813A01018
156,Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027
157,Mastek Ltd.,Information Technology,MASTEK,EQ,INE759A01021
158,Metropolis Healthcare Ltd.,Healthcare,METROPOLIS,EQ,INE112L01020
159,Minda Corporation Ltd.,Automobile and Auto Components,MINDACORP,EQ,INE842C01021
160,Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS,EQ,INE338I01027
161,Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01035
162,NATCO Pharma Ltd.,Healthcare,NATCOPHARM,EQ,INE987B01026
163,NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031
164,NCC Ltd.,Construction,NCC,EQ,INE868B01028
165,NMDC Steel Ltd.,Metals & Mining,NSLNISP,EQ,INE0NNS01018
166,Narayana Hrudayalaya Ltd.,Healthcare,NH,EQ,INE410P01011
167,National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034
168,Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,EQ,INE048G01026
169,Netweb Technologies India Ltd.,Information Technology,NETWEB,EQ,INE0NT901020
170,Network18 Media & Investments Ltd.,Media Entertainment & Publication,NETWORK18,EQ,INE870H01013
171,Newgen Software Technologies Ltd.,Information Technology,NEWGEN,EQ,INE619B01017
172,Nuvama Wealth Management Ltd.,Financial Services,NUVAMA,EQ,INE531F01015
173,Nuvoco Vistas Corporation Ltd.,Construction Materials,NUVOCO,EQ,INE118D01016
174,Olectra Greentech Ltd.,Automobile and Auto Components,OLECTRA,EQ,INE260D01016
175,PCBL Ltd.,Chemicals,PCBL,EQ,INE602A01031
176,PNB Housing Finance Ltd.,Financial Services,PNBHOUSING,EQ,INE572E01012
177,PNC Infratech Ltd.,Construction,PNCINFRA,EQ,INE195J01029
178,PTC Industries Ltd.,Capital Goods,PTCIL,EQ,INE596F01018
179,PVR INOX Ltd.,Media Entertainment & Publication,PVRINOX,EQ,INE191H01014
180,Pfizer Ltd.,Healthcare,PFIZER,EQ,INE182A01018
181,Piramal Enterprises Ltd.,Financial Services,PEL,EQ,INE140A01024
182,Piramal Pharma Ltd.,Healthcare,PPLPHARMA,EQ,INE0DK501011
183,Poly Medicure Ltd.,Healthcare,POLYMED,EQ,INE205C01021
184,Praj Industries Ltd.,Capital Goods,PRAJIND,EQ,INE074A01025
185,Quess Corp Ltd.,Services,QUESS,EQ,INE615P01015
186,R R Kabel Ltd.,Capital Goods,RRKABEL,EQ,INE777K01022
187,RBL Bank Ltd.,Financial Services,RBLBANK,EQ,INE976G01028
188,RHI MAGNESITA INDIA LTD.,Capital Goods,RHIM,EQ,INE743M01012
189,RITES Ltd.,Construction,RITES,EQ,INE320J01015
190,Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,EQ,INE944F01028
191,Railtel Corporation Of India Ltd.,Telecommunication,RAILTEL,EQ,INE0DD101019
192,Rainbow Childrens Medicare Ltd.,Healthcare,RAINBOW,EQ,INE961O01016
193,Rajesh Exports Ltd.,Consumer Durables,RAJESHEXPO,EQ,INE343B01030
194,Ramkrishna Forgings Ltd.,Automobile and Auto Components,RKFORGE,EQ,INE399G01023
195,Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,RCF,EQ,INE027A01015
196,Ratnamani Metals & Tubes Ltd.,Capital Goods,RATNAMANI,EQ,INE703B01027
197,RattanIndia Enterprises Ltd.,Consumer Services,RTNINDIA,EQ,INE834M01019
198,Raymond Ltd.,Realty,RAYMOND,EQ,INE301A01014
199,Redington Ltd.,Services,REDINGTON,EQ,INE891D01026
200,Route Mobile Ltd.,Telecommunication,ROUTE,EQ,INE450U01017
201,SBFC Finance Ltd.,Financial Services,SBFC,EQ,INE423Y01016
202,Sammaan Capital Ltd.,Financial Services,SAMMAANCAP,EQ,INE148I01020
203,Sanofi India Ltd.,Healthcare,SANOFI,EQ,INE058A01010
204,Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE,EQ,INE806T01020
