,Company Name,Industry,Symbol,Series,ISIN Code
0,3M India Ltd.,Diversified,3MINDIA,EQ,INE470A01017
1,ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025
2,AIA Engineering Ltd.,Capital Goods,AIAENG,EQ,INE212H01026
3,APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027
4,AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017
5,Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014
6,Adani Wilmar Ltd.,Fast Moving Consumer Goods,AWL,EQ,INE699H01024
7,Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013
8,Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,INE647O01011
9,Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,INE031B01049
10,Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014
11,Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,EQ,INE438A01022
12,Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029
13,Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046
14,Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037
15,BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
16,Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND,EQ,INE787D01026
17,Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014
18,Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016
19,Bank of Maharashtra,Financial Services,MAHABANK,EQ,INE457A01014
20,Bayer Cropscience Ltd.,Chemicals,BAYERCROP,EQ,INE462A01022
21,Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,EQ,INE463A01038
22,Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01026
23,Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025
24,Bharti Hexacom Ltd.,Telecommunication,BHARTIHEXA,EQ,INE343G01021
25,Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013
26,CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029
27,CRISIL Ltd.,Financial Services,CRISIL,EQ,INE007A01025
28,Carborundum Universal Ltd.,Capital Goods,CARBORUNIV,EQ,INE120A01034
29,Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,BE,INE704P01025
30,Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01017
31,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022
32,Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025
33,Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,INE169A01031
34,Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
35,Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,EQ,INE00R701025
36,Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,EQ,INE288B01029
37,Delhivery Ltd.,Services,DELHIVERY,EQ,INE148O01028
38,Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
39,Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD,EQ,INE548C01032
40,Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE,EQ,INE913H01037
41,Escorts Kubota Ltd.,Capital Goods,ESCORTS,EQ,INE042A01014
42,Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020
43,FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029
44,Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029
45,Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT,EQ,INE188A01015
46,Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013
47,GMR Airports Infrastructure Ltd.,Services,GMRINFRA,EQ,INE776C01039
48,General Insurance Corporation of India,Financial Services,GICRE,EQ,INE481Y01014
49,Gland Pharma Ltd.,Healthcare,GLAND,EQ,INE068V01023
50,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO,EQ,INE159A01016
51,Global Health Ltd.,Healthcare,MEDANTA,EQ,INE474Q01031
52,Godrej Industries Ltd.,Diversified,GODREJIND,EQ,INE233A01035
53,Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027
54,Grindwell Norton Ltd.,Capital Goods,GRINDWELL,EQ,INE536A01023
55,Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM,EQ,INE09N301011
