,Company Name,Industry,Symbol,Series,ISIN Code
47,JSW Infrastructure Ltd.,Services,JSWINFRA,EQ,INE880J01026
48,Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020
49,KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011
50,Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014
51,L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015
52,LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026
53,Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037
54,MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011
55,Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN,EQ,INE774D01024
56,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,MRPL,EQ,INE103A01014
57,Mankind Pharma Ltd.,Healthcare,MANKIND,EQ,INE634S01028
58,Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026
59,Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020
60,Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,INE027H01010
61,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01012
62,MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018
63,Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012
64,NLC India Ltd.,Power,NLCINDIA,EQ,INE589A01014
65,NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023
66,Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010
67,Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,EQ,INE274J01014
68,One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020
69,Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027
70,PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026
71,PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030
72,Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022
73,Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI,EQ,INE619A01035
74,Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01021
75,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET,EQ,INE347G01014
76,Phoenix Mills Ltd.,Realty,PHOENIXLTD,EQ,INE211B01039
77,Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017
78,Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA,EQ,INE511C01022
79,Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,INE811K01011
80,Rail Vikas Nigam Ltd.,Construction,RVNL,EQ,INE415G01027
81,SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ,INE018E01016
