,Company Name,Industry,Symbol,Series,ISIN Code
179,Rategain Travel Technologies Ltd.,Information Technology,RATEGAIN,EQ,INE0CLI01024
180,Redtape Ltd.,Consumer Durables,REDTAPE,EQ,INE0LXT01019
181,Reliance Infrastructure Ltd.,Power,RELINFRA,BE,INE036A01016
182,Religare Enterprises Ltd.,Financial Services,RELIGARE,EQ,INE621H01010
183,Responsive Industries Ltd.,Consumer Durables,RESPONIND,EQ,INE688D01026
184,Restaurant Brands Asia Ltd.,Consumer Services,RBA,EQ,INE07T201019
185,Rolex Rings Ltd.,Automobile and Auto Components,ROLEXRINGS,EQ,INE645S01016
186,Rossari Biotech Ltd.,Chemicals,ROSSARI,EQ,INE02A801020
187,Safari Industries (India) Ltd.,Consumer Durables,SAFARI,EQ,INE429E01023
188,Sai Silks (Kalamandir) Ltd.,Consumer Services,KALAMANDIR,EQ,INE438K01021
189,Samhi Hotels Ltd.,Consumer Services,SAMHI,EQ,INE08U801020
190,Sandur Manganese & Iron Ores Ltd.,Oil Gas & Consumable Fuels,SANDUMA,EQ,INE149K01016
191,Sanghi Industries Ltd.,Construction Materials,SANGHIIND,EQ,INE999B01013
192,Sanghvi Movers Ltd.,Capital Goods,SANGHVIMOV,EQ,INE989A01032
193,Sansera Engineering Ltd.,Automobile and Auto Components,SANSERA,EQ,INE953O01021
194,Sarda Energy and Minerals Ltd.,Metals & Mining,SARDAEN,EQ,INE385C01021
195,Senco Gold Ltd.,Consumer Durables,SENCO,EQ,INE602W01019
196,Sequent Scientific Ltd.,Healthcare,SEQUENT,BE,INE807F01027
197,Sharda Motor Industries Ltd.,Automobile and Auto Components,SHARDAMOTR,EQ,INE597I01028
198,Share India Securities Ltd.,Financial Services,SHAREINDIA,EQ,INE932X01026
199,Sheela Foam Ltd.,Consumer Durables,SFL,EQ,INE916U01025
200,Shilpa Medicare Ltd.,Healthcare,SHILPAMED,EQ,INE790G01031
201,Shivalik Bimetal Controls Ltd.,Capital Goods,SBCL,EQ,INE386D01027
202,Shriram Pistons & Rings Ltd.,Automobile and Auto Components,SHRIPISTON,EQ,INE526E01018
203,Sindhu Trade Links Ltd.,Diversified,SINDHUTRAD,EQ,INE325D01025
204,South Indian Bank Ltd.,Financial Services,SOUTHBANK,EQ,INE683A01023
205,Spandana Sphoorty Financial Ltd.,Financial Services,SPANDANA,EQ,INE572J01011
206,Star Cement Ltd.,Construction Materials,STARCEMENT,EQ,INE460H01021
207,Steel Strips Wheels Ltd.,Automobile and Auto Components,SSWL,EQ,INE802C01033
208,Sterlite Technologies Ltd.,Telecommunication,STLTECH,EQ,INE089C01029
209,Strides Pharma Science Ltd.,Healthcare,STAR,EQ,INE939A01011
210,Stylam Industries Ltd.,Consumer Durables,STYLAMIND,EQ,INE239C01020
211,Subros Ltd.,Automobile and Auto Components,SUBROS,EQ,INE287B01021
212,Sudarshan Chemical Industries Ltd.,Chemicals,SUDARSCHEM,EQ,INE659A01023
213,Sula Vineyards Ltd.,Fast Moving Consumer Goods,SULA,EQ,INE142Q01026
214,Sunflag Iron & Steel Company Ltd.,Metals & Mining,SUNFLAG,EQ,INE947A01014
215,Sunteck Realty Ltd.,Realty,SUNTECK,EQ,INE805D01034
216,Suprajit Engineering Ltd.,Automobile and Auto Components,SUPRAJIT,EQ,INE399C01030
217,Supreme Petrochem Ltd.,Chemicals,SPLPETRO,EQ,INE663A01033
218,Supriya Lifescience Ltd.,Healthcare,SUPRIYA,EQ,INE07RO01027
